Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68651c062a845e0d1a5d81aa,67709b0a96dcc9c2a7b0a06e,AWAITING REVIEW,Not Applicable,2025-07-02T11:46:14.101000Z,2025-07-02T12:02:15.858000Z,,2025-07-02T12:02:16.382722Z,962.0,C1MBYV0R,699,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
68651fc08cdd07dbda7672fc,676f8b5b07242dc7cacc43cc,AWAITING REVIEW,Not Applicable,2025-07-02T12:02:08.898000Z,2025-07-02T12:20:53.473000Z,,2025-07-02T12:20:54.020416Z,1125.0,NOCODE,1170,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68651974cd5648e43a614491,670fd04ebdeb4aba9822fd3c,RETURNED,Not Applicable,,,,,,,1307,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651976375ff9d9c054bf5f,5a3bdd2c8d005a0001829f3e,RETURNED,Not Applicable,2025-07-02T11:35:22.168000Z,,,,,,12813,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651982f509f6d11601429b,67edb9ee77a87b53846a8aa8,RETURNED,Not Applicable,2025-07-02T11:35:35.538000Z,,,,,,1292,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651985c91e974f86ea9233,67f020ded233a50f479c4c87,RETURNED,Not Applicable,2025-07-02T11:46:00.015000Z,,,,,,1351,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686519bec0a9607402576433,5c6a36214fbf270001311702,RETURNED,Not Applicable,2025-07-02T11:36:30.975000Z,,,,,,3941,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686519fd7443c08ea006c56f,66f02f508e8473f0362ed99e,ACTIVE,Not Applicable,2025-07-02T11:40:25.107000Z,,,,3126.0,,605,29,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
68651a6cc24f48719092fd75,6744f6b7f36802f73ce07b2c,RETURNED,Not Applicable,2025-07-02T11:39:33.306000Z,,,,,,728,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651a8c49a81490760f05d1,614f6bad672ef7cf5ecfd965,RETURNED,Not Applicable,2025-07-02T11:40:01.242000Z,,,,,,9883,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651ae65e886c68e7acdcfd,63614899ad49a91f1ef09067,RETURNED,Not Applicable,2025-07-02T11:41:47.897000Z,,,,,,6756,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651b68bdcabaa72a92c476,66e9bdb86f599f239c1ea24e,RETURNED,Not Applicable,2025-07-02T11:44:12.011000Z,,,,,,1273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651bc0ffdd8558b34182b8,67d9b887153011f49e8a5f3f,RETURNED,Not Applicable,2025-07-02T11:45:04.856000Z,,,,,,1053,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651bd2de488957928478c8,622a2b1c561ce3cd95519fd2,RETURNED,Not Applicable,2025-07-02T11:48:46.598000Z,,,,,,5405,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651c2cfa02d783ddc39c55,678c1a86da262715257f3150,RETURNED,Not Applicable,2025-07-02T11:49:21.056000Z,,,,,,226,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651c631d00d7b6ff1b3917,67ada01dd3c9bf306719955f,ACTIVE,Not Applicable,2025-07-02T11:47:47.593000Z,,,,2684.0,,158,20,Female,White,United States,United States,United States,English,No,Full-Time
68651c67a46fd7427239bdcc,67ad3b723dcec072cfdf7815,ACTIVE,Not Applicable,2025-07-02T11:47:51.658000Z,,,,2680.0,,171,33,Female,White,United States,United States,United States,English,No,Part-Time
68651ce19f5beae4cddeef9e,67826e3f8fe3e14925bf520d,RETURNED,Not Applicable,2025-07-02T11:52:50.877000Z,,,,,,347,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651fb913abb86a7c3bf918,675762346cd569df080a5e8e,RETURNED,Not Applicable,2025-07-02T12:04:05.813000Z,,,,,,942,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68651ff9933a1d4c876c06f7,67e61c1f5c4137de3b4b0a8e,ACTIVE,Not Applicable,2025-07-02T12:04:41.237000Z,,,,1671.0,,318,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
68652010c00aadadba5035cc,673aef188d2380783dbd4deb,RETURNED,Not Applicable,2025-07-02T12:03:28.041000Z,,,,,,1202,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6865203a0727199f3ab0b357,6752c6f9ce1480987bf13686,ACTIVE,Not Applicable,2025-07-02T12:04:10.175000Z,,,,1702.0,,284,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6865203df1729b956ec2da1c,67a635bbbc0eac5a48ca212d,RETURNED,Not Applicable,2025-07-02T12:04:13.082000Z,,,,,,448,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686521bbbd7a012175d05cb9,614e6f4f00a9e94b123316d3,RETURNED,Not Applicable,,,,,,,4734,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686521e14173fd02e25b02f0,67e0b1008a5ea7d9897f40ee,ACTIVE,Not Applicable,2025-07-02T12:11:42.215000Z,,,,1250.0,,292,41,Female,White,United States,United States,United States,English,Yes,Part-Time
686521f06b46a8dc3ed6a4a3,67105e698f7df6c2eb1b9137,ACTIVE,Not Applicable,2025-07-02T12:13:36.811000Z,,,,1135.0,,1251,78,Female,White,Germany,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686521f195edb23950f237ec,5e9c8deb90dd470441c7f98e,ACTIVE,Not Applicable,2025-07-02T12:11:34.143000Z,,,,1258.0,,6852,69,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68652205b96b70015fb3f32b,5910a5f8748d450001ba3a67,ACTIVE,Not Applicable,2025-07-02T12:11:52.941000Z,,,,1239.0,,2957,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
686522216da3671feeae7a49,67cf1ea26f90092f0f4fe827,ACTIVE,Not Applicable,2025-07-02T12:12:17.002000Z,,,,1215.0,,446,28,Female,White,United States,United States,United States,English,No,Full-Time
68652236653ae7bb29172335,6678813aec86d687a654dedb,ACTIVE,Not Applicable,2025-07-02T12:12:44.725000Z,,,,1188.0,,1237,28,Male,Black,Nigeria,United States,United States,English,No,Full-Time
68652241551a1134ae2ef6b1,67c899a9780530ab33607c04,ACTIVE,Not Applicable,2025-07-02T12:12:49.937000Z,,,,1183.0,,227,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6865227508ef46c75b6c075e,67abab02a0f4cc6ab01030ca,ACTIVE,Not Applicable,2025-07-02T12:13:41.275000Z,,,,1131.0,,719,25,Female,White,United States,United States,United States,English,Yes,Part-Time
6865227f8f420ac362f84016,67f1c8dc042e5b62c7c65764,ACTIVE,Not Applicable,2025-07-02T12:13:51.409000Z,,,,1121.0,,465,35,Female,Black,United States,United States,United States,English,No,Full-Time
686522c0d5ecd6181ef5fc34,67d7324bdbcbb6e5e7b18b7a,ACTIVE,Not Applicable,2025-07-02T12:15:45.248000Z,,,,1008.0,,1400,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
686523e88cbf554d34787bca,671acd4b14ebfd595a8b6c09,ACTIVE,Not Applicable,2025-07-02T12:19:52.475000Z,,,,760.0,,896,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6865268b14d859ab4215e9ba,67691aa7e341fc63fdc3e6a0,ACTIVE,Not Applicable,2025-07-02T12:31:50.619000Z,,,,42.0,,1561,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
